,TargetName,TargetType,MetricGroup,Metric,Severity,Message,CodeApplication,HOST
0,cluster3,Systems Infrastructure Server,ILOM SNMP Test Trap,Test Fault Status,W,Test message error,XH_,cluster3
1,cluster3,Systems Infrastructure Server,ILOM SNMP Test Trap,Test Fault Status,E,Error on the server,XH_,cluster3
